Country,work- Agree strongly,work-Agree,work-Neither agree nor disagree,work-Disagree,work-Disagree strongly,work-Don´t know,work-No answer,Very happy,Quite happy,Not very happy,Not at all happy,Don´t know,No answer
TOTAL,19.5,33.6,18.7,21.4,5.8,0.6,0.3,29,56,12.1,2.1,0.6,0.2
Albania,62.7,27.9,4.6,4,0.7,0.1,0.1,17.5,56.5,21.3,4.5,0.2,0.1
Andorra,12.5,16.5,27.1,30.4,13.1,0,0.4,34.3,60.8,4.7,0.3,0,0
Azerbaijan,31.8,40.4,14.2,10.2,1.7,1.6,0,19.3,60.7,13,1.8,4.5,0.8
Argentina,0,56.7,28.9,13.3,0,0.5,0.6,31.9,53.8,11.2,1.3,1.4,0.4
Australia,5.1,16.2,20.7,43.1,14.3,0,0.6,26.7,62.9,8.7,1.5,0,0.3
Austria,11.7,27.9,25.3,23.8,10.7,0.2,0.3,33,56.1,9.9,0.7,0.2,0.1
Bangladesh,37.8,52.8,5.7,2,0.5,1.2,0.1,26.7,64,8.5,0.8,0,0
Armenia,25.7,38.5,11.9,17.4,5.8,0.8,0,35.4,50.1,10.7,2.8,0.8,0.2
Bolivia,18.8,57.1,8.5,13.7,1.1,0.6,0.2,37.3,35.8,25,1.7,0.2,0
Bosnia Herzegovina,23.5,30,23,17,5.8,0.3,0.3,29.6,57.5,10.1,2.7,0.1,0
Brazil,0,49.7,15.9,33.7,0,0.5,0.1,27.8,61.4,9,0.8,0.9,0.1
Bulgaria,32.5,32,19.5,12.1,1.2,0.7,1.9,15.2,45,29.8,8.7,0.7,0.6
Myanmar,62.3,22.8,2.1,9.4,3.4,0,0,33.3,54.2,9,3.4,0,0
Belarus,12.3,21,17.5,29.9,17.7,1.4,0.2,21.6,66.9,7.9,0.9,2.4,0.2
Canada,3.9,15.2,25.3,38.9,16.7,0,0,19.5,65.4,13.3,1.8,0,0
Chile,18,36.1,24.6,17.2,2.7,1.1,0.3,26.3,56.4,15.4,0.7,1,0.3
China,21.6,59.7,4.8,12.9,0.7,0,0.4,27.4,61.5,9.5,1.5,0,0
Taiwan ROC,8.5,40.1,12.2,35.1,4,0.1,0,25.9,64.8,7.6,1.7,0,0
Colombia,11.2,49.9,4.9,30.6,3.3,0,0,57.3,32.1,9.3,1.3,0,0
Croatia,17.6,26.8,16,30.2,8.8,0.4,0.1,18.5,63.1,15,2.5,0.9,0
Cyprus,25.6,42.9,15.8,11.7,3.1,0.7,0.3,26.3,55.6,14.6,3.2,0.1,0.2
Czech Rep.,11.6,25.1,27.1,28,6.3,1,1,18,70.5,9.7,0.8,0.6,0.4
Denmark,14,30.8,24.7,23.9,6,0.5,0.2,31.5,58.6,8.5,1.2,0.2,0
Ecuador,25.9,46.6,10.7,14.2,2.2,0.4,0,60.7,27.2,9.3,1.2,0.7,0.8
Ethiopia,62.8,35,1.1,0.7,0.2,0.1,0,33,54.5,10.3,2.2,0,0
Estonia,10.9,22.6,19.9,35.9,9.9,0.4,0.3,18.1,66.3,14.1,1,0.4,0.1
Finland,9.7,27,20.4,32.6,7.8,1.9,0.6,21.6,67.3,10,0.8,0.1,0.2
France,17,21.8,17,25.6,18.3,0.3,0.1,33.3,57.5,7.5,1.4,0.1,0.1
Georgia,34.3,44.3,6.1,13.3,1.2,0.6,0.2,33.2,45.6,17.8,3.2,0.1,0
Germany,7,22.1,16.4,41.4,11.8,0.8,0.4,24.7,61.7,11.1,1.3,0.7,0.5
Greece,17.1,45.5,24.4,11.5,1.2,0.1,0.3,15.9,55.5,19.6,8.7,0.1,0.2
Guatemala,20.2,26.9,26,20.3,6.6,0,0,51.1,39.6,8.1,1.1,0,0
Hong Kong SAR,8.5,46.1,22.6,19.4,3.2,0.2,0,12.5,68.1,16.7,2.4,0.2,0.1
Hungary,20.3,26.9,26.5,18.1,7.6,0.2,0.3,20.5,60.8,16,2.3,0.2,0.2
Iceland,3.4,16.2,20,47.4,12.5,0.4,0.1,44.8,50.4,3.7,0.9,0.1,0.2
Indonesia,19.9,58.7,2.6,16.8,2,0,0,44.2,49.6,5,1.1,0,0.1
Iran,13.1,41.6,13.1,28.2,3.4,0.4,0.1,18.3,51.2,20.3,10,0.1,0.1
Iraq,60,25.4,11.9,1.3,0.1,0.5,0.8,17.9,51.2,19.3,9.8,0.6,1.2
Italy,16.8,37.9,25,17,2.5,0.8,0.1,18,64.3,14.2,2.7,0.5,0.3
Japan,1,9.1,28.5,44.1,14.9,2.1,0.3,29.9,58.4,8.9,0.7,1.9,0.2
Kazakhstan,17.2,26.8,30.3,19.4,4.8,0.9,0.5,28.7,55.8,10,0.5,1.1,4
Jordan,51.3,36.2,5.5,6.1,0.7,0.2,0,24,62.5,10,3.2,0.3,0
Kenya,28.4,42.7,11.8,13.9,2.3,0,0.5,50.1,32.8,13.4,2.7,0.2,0.6
South Korea,4.9,42.5,39,12.9,0.8,0,0,4.1,85,10.8,0.1,0,0
Kyrgyzstan,45.8,31.7,5.6,12.4,4.1,0.3,0.1,68.8,27.1,3.5,0.4,0.2,0
Lebanon,31.5,44.2,17.2,5.2,1.9,0,0,18.6,67.5,12.2,1.7,0,0
Libya,47,32.7,9.2,9.9,0.9,0.3,0,36,55.7,5.9,2,0.3,0.1
Lithuania,10.5,30.9,38.1,15.1,3.2,1.7,0.5,8.4,65.3,14.1,0.9,10.5,0.8
Macau SAR,6.5,28.6,44.3,18.2,2,0,0,14.5,76.5,8,1,0,0
Malaysia,16.3,36.7,26.5,15.9,4.6,0,0,18.4,67.2,13.2,1.2,0,0
Mexico,32.7,33.1,15.5,16,2.3,0.3,0.1,59.1,33,7.4,0.6,0,0
Mongolia,17.3,38.5,20.6,17.6,6,0,0,20.3,53,25.5,1.1,0,0
Montenegro,16.3,39.6,27.9,10.8,4.6,0.6,0.2,33.8,57.8,6.3,0.9,1.3,0
Morocco,29.8,31.4,14.9,20.3,3.5,0,0,12.4,70.4,16.2,0.9,0,0
Netherlands,4.4,18.3,25.5,40.1,10.6,1,0.2,37.2,54.4,7.1,0.6,0.4,0.2
New Zealand,3.2,16.5,22.9,37.7,15.3,0.9,0,32.1,57.5,6.1,0.3,0.5,0
